true_class,pred_class,clean_count,rgft_count,absolute_reduction,relative_reduction
1,7,132,6,126,0.9545454545454546
0,9,118,2,116,0.9830508474576272
1,0,118,5,113,0.9576271186440678
8,3,114,3,111,0.9736842105263158
6,4,117,14,103,0.8803418803418803
0,6,101,10,91,0.900990099009901
2,3,72,4,68,0.9444444444444444
6,9,70,2,68,0.9714285714285714
2,4,67,3,64,0.9552238805970149
5,3,76,16,60,0.7894736842105263
8,5,66,6,60,0.9090909090909091
0,7,65,7,58,0.8923076923076924
1,4,57,3,54,0.9473684210526315
1,6,55,6,49,0.8909090909090909
9,3,53,5,48,0.9056603773584906
9,5,56,8,48,0.8571428571428571
9,8,74,27,47,0.6351351351351351
8,9,55,15,40,0.7272727272727273
4,6,48,12,36,0.75
7,3,40,4,36,0.9
7,5,37,1,36,0.972972972972973
0,4,39,6,33,0.8461538461538461
4,1,35,2,33,0.9428571428571428
8,6,41,8,33,0.8048780487804879
9,6,36,3,33,0.9166666666666666
9,7,68,37,31,0.45588235294117646
6,1,32,4,28,0.875
0,3,28,1,27,0.9642857142857143
8,7,50,23,27,0.54
6,5,35,9,26,0.7428571428571429
7,2,46,21,25,0.5434782608695652
4,2,29,5,24,0.8275862068965517
5,9,33,9,24,0.7272727272727273
1,8,25,2,23,0.92
9,4,50,27,23,0.46
0,8,32,10,22,0.6875
2,1,20,0,20,1.0
4,8,24,6,18,0.75
5,6,28,10,18,0.6428571428571429
0,2,20,3,17,0.85
0,5,22,5,17,0.7727272727272727
6,3,16,0,16,1.0
8,2,24,8,16,0.6666666666666666
6,2,16,2,14,0.875
3,0,17,4,13,0.7647058823529411
7,4,16,3,13,0.8125
2,0,24,12,12,0.5
2,6,19,7,12,0.631578947368421
3,2,36,24,12,0.3333333333333333
6,0,37,25,12,0.32432432432432434
7,1,19,8,11,0.5789473684210527
3,5,44,34,10,0.22727272727272727
4,3,10,0,10,1.0
2,7,28,19,9,0.32142857142857145
3,9,11,2,9,0.8181818181818182
4,0,14,5,9,0.6428571428571429
7,8,13,4,9,0.6923076923076923
8,4,16,7,9,0.5625
3,1,8,0,8,1.0
4,7,18,10,8,0.4444444444444444
2,9,8,1,7,0.875
0,1,7,1,6,0.8571428571428571
1,3,6,0,6,1.0
2,5,11,5,6,0.5454545454545454
3,6,8,2,6,0.75
8,1,6,0,6,1.0
9,1,16,10,6,0.375
4,9,28,23,5,0.17857142857142858
7,0,7,2,5,0.7142857142857143
7,6,6,1,5,0.8333333333333334
9,0,17,12,5,0.29411764705882354
4,5,4,0,4,1.0
5,0,11,7,4,0.36363636363636365
5,7,7,3,4,0.5714285714285714
1,5,2,0,2,1.0
6,7,2,0,2,1.0
1,9,1,0,1,1.0
5,1,1,0,1,1.0
8,0,17,16,1,0.058823529411764705
1,2,6,6,0,0.0
3,4,2,2,0,0.0
3,7,19,19,0,0.0
9,2,6,6,0,0.0
2,8,7,8,-1,-0.14285714285714285
5,4,1,2,-1,-1.0
6,8,9,10,-1,-0.1111111111111111
5,2,3,5,-2,-0.6666666666666666
7,9,12,14,-2,-0.16666666666666666
3,8,15,27,-12,-0.8
5,8,16,28,-12,-0.75
