model_name,perturbation_type,severity,accuracy
CNN-clean,noise,0.05,0.9792
CNN-clean,noise,0.1,0.9745
CNN-clean,noise,0.2,0.9492
CNN-clean,translation,1,0.9554
CNN-clean,translation,2,0.8654
CNN-clean,translation,3,0.7069
CNN-clean,rotation,5,0.9746
CNN-clean,rotation,10,0.9643
CNN-clean,rotation,15,0.9458
CNN-AugScratch-target,noise,0.05,0.9765
CNN-AugScratch-target,noise,0.1,0.9524
CNN-AugScratch-target,noise,0.2,0.671
CNN-AugScratch-target,translation,1,0.977
CNN-AugScratch-target,translation,2,0.9728
CNN-AugScratch-target,translation,3,0.9568
CNN-AugScratch-target,rotation,5,0.9746
CNN-AugScratch-target,rotation,10,0.9651
CNN-AugScratch-target,rotation,15,0.9506
CNN-AugScratch-mixed,noise,0.05,0.9884
CNN-AugScratch-mixed,noise,0.1,0.9871
CNN-AugScratch-mixed,noise,0.2,0.9821
CNN-AugScratch-mixed,translation,1,0.9842
CNN-AugScratch-mixed,translation,2,0.9749
CNN-AugScratch-mixed,translation,3,0.9527
CNN-AugScratch-mixed,rotation,5,0.9853
CNN-AugScratch-mixed,rotation,10,0.9818
CNN-AugScratch-mixed,rotation,15,0.978
CNN-RGFT-target,noise,0.05,0.9762
CNN-RGFT-target,noise,0.1,0.9689
CNN-RGFT-target,noise,0.2,0.8634
CNN-RGFT-target,translation,1,0.9737
CNN-RGFT-target,translation,2,0.959
CNN-RGFT-target,translation,3,0.9266
CNN-RGFT-target,rotation,5,0.9717
CNN-RGFT-target,rotation,10,0.9604
CNN-RGFT-target,rotation,15,0.9406
